ID,Location,Specific Location,Amenities,Bedroom,Bathroom,Toilet,New,Duplex,Lux,Estate,rank,Price
666,lekki,lekki county ikota lekki lagos,2,1,1,1,0,0,0,0,4,650000
667,lekki,orchid road victoria crest estate ikota lekki lagos,10,5,5,5,0,0,0,1,9,3500000
668,lekki,orchid chevron lekki lagos,9,5,4,5,0,0,0,1,9,3500000
669,lekki,off admiralty way lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,4300000
670,lekki,off admiralty way lekki phase 1 lekki lagos,7,4,3,4,0,0,0,1,7,2500000
671,lekki,. lekki phase 1 lekki lagos,10,5,5,5,0,0,0,1,9,3500000
672,lekki,off admiralty way lekki phase 1 lekki lagos,4,2,2,2,0,0,0,0,6,1000000
673,lekki,"  abijo gra, lekki, lagos abijo ajah lagos",14,6,8,6,0,0,0,0,10,4700000
674,lekki,igbo efon lekki lagos,7,4,3,4,0,0,0,0,7,2000000
675,lekki,chisco road ikate lekki lagos,7,4,3,4,0,0,0,0,7,2300000
676,lekki,lekki lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,4300000
677,lekki,lekki right lekki phase 1 lekki lagos,11,6,5,6,0,0,0,1,10,6000000
678,lekki,chevron lekki lagos,11,6,5,6,0,0,0,0,10,4700000
679,lekki,ologolo ologolo lekki lagos,9,5,4,5,0,0,0,1,9,3500000
680,lekki,agungi agungi lekki lagos,7,4,3,4,0,0,0,1,7,2500000
681,lekki,"  eleganza bus stop, orchid road. ikota lekki lagos",7,4,3,4,0,0,0,1,7,2500000
682,lekki,ikate lekki lagos,2,1,1,1,0,0,0,0,4,700000
683,lekki,lekki phase 1 lekki lagos,9,5,4,5,1,0,1,1,9,4500000
684,lekki,off admiralty way lekki phase 1 lekki lagos,5,3,2,3,0,0,0,1,7,2000000
685,lekki,- chevron lekki lagos,8,4,4,4,1,1,1,1,7,4000000
686,lekki,oral estate lekki phase 2 lekki lagos,5,3,2,3,0,0,0,0,7,1600000
687,lekki,oral estate oral estate lekki lagos,3,2,1,2,0,0,0,1,6,1500000
688,lekki,chevron lekki lagos,2,1,1,1,0,0,0,0,4,650000
689,lekki,chevron lekki lagos,11,6,5,6,0,0,0,0,10,4700000
690,lekki,... ikate lekki lagos,9,5,4,5,0,0,0,1,9,3500000
691,lekki,chevron lekki lagos,9,5,4,5,0,0,0,1,9,3500000
692,lekki,ikate lekki lagos,5,3,2,3,1,1,0,1,7,2500000
693,lekki,orchid road lekki phase 2 lekki lagos,5,3,2,3,1,1,0,1,7,2500000
694,lekki,lekki phase 1 lekki phase 1 lekki lagos,7,4,3,4,0,0,0,1,7,2500000
695,lekki,ikate-lekki ikate lekki lagos,9,6,3,6,1,1,0,1,10,6200000
696,lekki,off admiralty way lekki phase 1 lekki lagos,5,3,2,3,0,0,0,1,7,2000000
697,lekki,"  bourdillon court, chevron drive chevron lekki lagos",9,5,4,5,1,0,0,1,9,4000000
698,lekki,"  cadogan estate, osapa london lekki lagos",7,4,3,4,1,1,1,1,7,3800000
699,lekki,eletu osapa london lekki lagos,7,4,3,4,0,0,0,0,7,2000000
700,lekki,lekki lekki phase 1 lekki lagos,5,3,2,3,1,1,1,1,7,3500000
701,lekki,ilasan ilasan lekki lagos,7,4,3,4,0,0,0,0,7,2000000
702,lekki,ikate lekki lagos,2,1,1,1,0,0,0,0,4,650000
703,lekki,lekki paradise chevron lekki lagos,9,5,4,5,0,0,0,1,9,3500000
704,lekki,muritala eletu osapa london lekki lagos,7,4,3,4,0,0,0,0,7,2000000
705,lekki,ikate lekki lagos,10,5,5,5,1,1,1,1,9,5600000
706,lekki,eletu osapa london lekki lagos,5,3,2,3,0,0,0,1,7,2000000
707,lekki,whitesands street lekki phase 1 lekki lagos,9,5,4,5,1,1,1,1,9,5500000
708,lekki,lekki phase 1 lekki lagos,2,1,1,1,0,0,0,1,4,1000000
709,lekki,"  occen bay estate off ,ochid road ikota ikota lekki lagos",5,3,2,3,0,0,0,1,7,2000000
710,lekki,agungi lekki lagos,7,4,3,4,0,0,0,0,7,2000000
711,lekki,"  eleganza gardens, vgc lekki lagos",5,3,2,3,0,0,0,0,7,1400000
712,lekki,ikota villa estate ikota lekki lagos,5,3,2,3,0,0,0,0,7,1500000
713,lekki,vgc vgc lekki lagos,9,5,4,5,0,0,0,1,9,3500000
714,lekki,osapa london lekki lagos,11,6,5,6,0,0,0,0,10,4700000
715,lekki,lekki phase 2 lekki lagos,5,3,2,3,0,0,0,0,7,1600000
716,lekki,chevy view chevron lekki lagos,2,1,1,1,0,0,0,0,4,400000
717,lekki,chevron lekki lagos,9,5,4,5,0,0,0,1,9,3500000
718,lekki,"  ikota villa estate, megamound ikota lekki lagos",8,4,4,4,0,0,0,1,7,2500000
719,lekki,lekki paradise chevron lekki lagos,9,5,4,5,1,1,1,1,9,5000000
720,lekki,ikota gra ikota lekki lagos,7,4,3,4,0,0,0,0,7,2000000
721,lekki,off admiralty way lekki phase 1 lekki lagos,5,3,2,3,1,1,1,1,7,2800000
